basin_id;basin_name;lat;lon;area_km2;elevation_m;slope_deg;forest_frac;lat_gauge;lon_gauge;gravelius_frac;perimeter_m;aspect_deg;grass_frac;wetland_frac;water_frac;urban_frac;shrubs_frac;crops_frac;snowice_frac
01010000;St. John River at Ninemile Bridge, Maine;46.45840316;-70.03653563;3471.689421;421.8832159;2.13604739;0.59135509;46.70055556;-69.7155556;2.761136253;576.6097863;89.77697382;0.008025274;0.156864537;0.017284556;0.020083297;0.164833697;0.041553549;0
01010500;St. John River at Dickey, Maine;46.74962916;-69.81155208;6938.20108;395.8600736;2.75422021;0.63537767;47.11305556;-69.0880556;2.844832778;840.2005494;126.6673541;0.008891031;0.126424703;0.017752542;0.01704787;0.156118576;0.038387605;0
01013500;Fish River near Fort Kent, Maine;47.00766207;-68.57631289;2260.093113;276.6773409;4.23782479;0.54248656;47.2375;-68.58277778;3.013488862;505.798407;142.1576144;0.008305924;0.156749349;0.096533387;0.017502226;0.099027423;0.079395129;0
01014000;St. John River below Fish R, nr Fort Kent, Maine;46.86788756;-69.39072416;15349.47545;362.1750603;3.57993837;0.63102591;47.2833333;-68.58527778;3.411476776;1463.436036;153.9748709;0.008605915;0.117205934;0.046880508;0.016204628;0.136255735;0.04382137;0
01015800;Aroostook River near Masardis, Maine;46.39685912;-68.62917629;2309.281852;281.6928758;2.97905381;0.57376552;46.52305556;-68.3716667;2.955111455;503.4961474;136.1716595;0.00493637;0.226280493;0.033550693;0.004284169;0.155445363;0.001737395;0
01016500;MACHIAS RIVER NEAR ASHLAND, ME;46.63223303;-68.76379778;851.741849;327.6482785;4.20710805;0.71563886;46.6283111;-68.4347917;2.671466818;275.3965959;127.9549224;0.006728389;0.13268718;0.014520366;0.000634537;0.127694725;0.002095943;0
01017000;Aroostook River at Washburn, Maine;46.52888819;-68.58472969;4282.009174;274.9080675;3.04210799;0.59256027;46.7772222;-68.1572222;2.877841681;666.6361674;137.7290771;0.005398019;0.198258972;0.03095805;0.008647506;0.137255531;0.026921652;0
01017290;Little Madawaska River at Caribou, Maine;47.0066965;-68.1250633;605.798154;224.3441488;2.4139783;0.39716412;46.8886111;-67.945;2.834623513;245.7319931;167.0699482;0.005728632;0.22879531;0.020600717;0.052175033;0.127109046;0.168427142;0
01018035;Meduxnekeag River at Lowery Rd. nr Houlton, Maine;46.10549195;-67.92949954;665.342417;177.5829082;2.19229601;0.4659271;46.1811111;-67.80388889;2.453412062;225.3919331;123.4991973;0.003450157;0.222521282;0.015828808;0.067797667;0.06063582;0.163839166;0
01018500;St. Croix River at Vanceboro, Maine;45.71593619;-67.61509079;1069.207853;163.8923699;2.51964633;0.53434598;45.5683333;-67.4283333;2.810233119;325.5557302;155.7696768;0.004870105;0.083604637;0.292802567;0.022861225;0.051159304;0.01035618;0
01019000;Grand Lake Stream at Grand Lake Stream, Maine;45.27194911;-67.96554014;591.0415323;128.1502224;3.00425545;0.46878676;45.1725;-67.76888889;2.25648863;199.5846813;144.3614782;2.64E-05;0.117763943;0.356809901;0.004467531;0.050704716;0.001440713;0
01020000;ST. CROIX RIVER NEAR BAILEYVILLE, ME;45.45329125;-67.66972751;3404.378515;129.1702115;2.24102944;0.5493378;45.2653472;-67.4757306;3.175389637;656.5259638;157.8375737;0.001693228;0.168507353;0.203052181;0.017239432;0.048697942;0.011472066;0
01021000;St. Croix River at Baring, Maine;45.42926205;-67.65111065;3557.122494;124.7787924;2.22292208;0.5403596;45.1369444;-67.3180556;3.440137607;739.0132604;155.9291299;0.001669932;0.173370811;0.203021969;0.020121161;0.04790731;0.01354922;0
01021500;Machias River at Whitneyville, Maine;44.94977732;-67.84045021;1185.707498;96.64637033;2.13707049;0.4782583;44.72305556;-67.5205556;2.828322414;345.8030662;119.9833848;0.00068789;0.214962732;0.075329285;0.015227977;0.171725944;0.043807867;0
01022000;EAST MACHIAS RIVER NEAR EAST MACHIAS, ME;44.9774113;-67.54185243;649.809131;61.97149142;1.84477002;0.48872723;44.768525;-67.40771389;2.598069079;235.7763865;154.7226864;0.000496763;0.271461085;0.10759174;0.020861956;0.090096962;0.020764266;0
01022500;Narraguagus River at Cherryfield, Maine;44.78654069;-68.06341214;587.675987;101.366826;2.22031997;0.47936658;44.60805556;-67.93527778;2.691662603;232.1016192;167.6961601;0.000870628;0.255983517;0.032652084;0.020927935;0.143864886;0.066334373;0
01027200;North Branch Penobscot River nr Pittston Farm, ME;46.06283845;-70.10174382;600.620392;478.5476107;3.53575047;0.44889083;45.93527778;-69.9936111;2.134273766;182.507101;152.2809891;0.010243867;0.179733877;0.018460035;0.007130472;0.335540916;0;0
